Zero_Init_Loss,Zero_Init_Accuracy,Random_Init_Loss,Random_Init_Accuracy,Xavier_Init_Loss,Xavier_Init_Accuracy,He_Init_Loss,He_Init_Accuracy,Validation_Loss,Validation_Accuracy
2.30165958404541,0.11156667023897171,0.2847689390182495,0.9157166481018066,0.282784104347229,0.9183666706085205,0.2732379734516144,0.9218500256538391,0.13915172219276428,0.9581000208854675
2.3012874126434326,0.11236666887998581,0.11482884734869003,0.965666651725769,0.11808284372091293,0.9639999866485596,0.1132972314953804,0.9656833410263062,0.09093053638935089,0.9707000255584717
2.30126953125,0.11236666887998581,0.08177893608808517,0.9749000072479248,0.08397161960601807,0.9744166731834412,0.0770309716463089,0.9769166707992554,0.0889439731836319,0.9732999801635742
2.301312208175659,0.11236666887998581,0.05779639258980751,0.982200026512146,0.06212726980447769,0.9810166954994202,0.05854448303580284,0.9817333221435547,0.07714052498340607,0.9763000011444092
2.301314353942871,0.11236666887998581,0.04499181732535362,0.986050009727478,0.049259252846241,0.9847166538238525,0.04593058302998543,0.9854833483695984,0.07360926270484924,0.9775999784469604
2.301295280456543,0.11236666887998581,0.03548825904726982,0.9891833066940308,0.03905785456299782,0.9875500202178955,0.036574117839336395,0.9881166815757751,0.07820995897054672,0.977400004863739
2.3012983798980713,0.11236666887998581,0.02908990904688835,0.9911500215530396,0.03133947402238846,0.9902499914169312,0.02919936366379261,0.9905666708946228,0.0858209878206253,0.9764000177383423
2.3013107776641846,0.11236666887998581,0.02252543531358242,0.9927999973297119,0.027182983234524727,0.9911999702453613,0.022794827818870544,0.9930333495140076,0.08741165697574615,0.9771999716758728
2.3013110160827637,0.11236666887998581,0.020479299128055573,0.9934499859809875,0.022199884057044983,0.9928500056266785,0.021124986931681633,0.9927999973297119,0.09886106848716736,0.9743000268936157
2.3013134002685547,0.11236666887998581,0.017619643360376358,0.9943166375160217,0.01942809671163559,0.9934333562850952,0.018887832760810852,0.9936166405677795,0.09727992862462997,0.9764000177383423
